Date,Open,High,Low,Close,Volume
08/01/2016 16:00:00,1945.97,1960.4,1918.46,1922.03,0
11/01/2016 16:00:00,1926.12,1935.65,1901.1,1923.67,0
12/01/2016 16:00:00,1927.83,1947.38,1914.35,1938.68,0
13/01/2016 16:00:00,1940.34,1950.33,1886.41,1890.28,0
14/01/2016 16:00:00,1891.68,1934.47,1878.93,1921.84,0
15/01/2016 16:00:00,1916.68,1916.68,1857.83,1880.33,0
19/01/2016 16:00:00,1888.66,1901.44,1864.6,1881.33,0
20/01/2016 16:00:00,1876.18,1876.18,1812.29,1859.33,0
21/01/2016 16:00:00,1861.46,1889.85,1848.98,1868.99,0
22/01/2016 16:00:00,1877.4,1908.85,1877.4,1906.9,0
25/01/2016 16:00:00,1906.28,1906.28,1875.97,1877.08,0
26/01/2016 16:00:00,1878.79,1906.73,1878.79,1903.63,0
27/01/2016 16:00:00,1902.52,1916.99,1872.7,1882.95,0
28/01/2016 16:00:00,1885.22,1902.96,1873.65,1893.36,0
29/01/2016 16:00:00,1894,1940.24,1894,1940.24,0
01/02/2016 16:00:00,1936.94,1947.2,1920.3,1939.38,0
02/02/2016 16:00:00,1935.26,1935.26,1897.29,1903.03,0
03/02/2016 16:00:00,1907.07,1918.01,1872.23,1912.53,0
04/02/2016 16:00:00,1911.67,1927.35,1900.52,1915.45,0
05/02/2016 16:00:00,1913.07,1913.07,1872.65,1880.05,0
08/02/2016 16:00:00,1873.25,1873.25,1828.46,1853.44,0
09/02/2016 16:00:00,1848.46,1868.25,1834.94,1852.21,0
10/02/2016 16:00:00,1857.1,1881.6,1850.32,1851.86,0
11/02/2016 16:00:00,1847,1847,1810.1,1829.08,0
12/02/2016 16:00:00,1833.4,1864.78,1833.4,1864.78,0
16/02/2016 16:00:00,1871.44,1895.77,1871.44,1895.58,0
17/02/2016 16:00:00,1898.8,1930.68,1898.8,1926.82,0
18/02/2016 16:00:00,1927.57,1930,1915.09,1917.83,0
19/02/2016 16:00:00,1916.74,1918.78,1902.17,1917.78,0
22/02/2016 16:00:00,1924.44,1946.7,1924.44,1945.5,0
23/02/2016 16:00:00,1942.38,1942.38,1919.44,1921.27,0
24/02/2016 16:00:00,1917.56,1932.08,1891,1929.8,0
25/02/2016 16:00:00,1931.87,1951.83,1925.41,1951.7,0
26/02/2016 16:00:00,1954.95,1962.96,1945.78,1948.05,0
29/02/2016 16:00:00,1947.13,1958.27,1931.81,1932.23,0
01/03/2016 16:00:00,1937.09,1978.35,1937.09,1978.35,0
02/03/2016 16:00:00,1976.6,1986.51,1968.8,1986.45,0
03/03/2016 16:00:00,1985.6,1993.69,1977.37,1993.4,0
04/03/2016 16:00:00,1994.01,2009.13,1986.77,1999.99,0
07/03/2016 16:00:00,1996.11,2006.12,1989.38,2001.76,0
08/03/2016 16:00:00,1996.88,1996.88,1977.43,1979.26,0
09/03/2016 16:00:00,1981.44,1992.69,1979.84,1989.26,0
10/03/2016 16:00:00,1990.97,2005.08,1969.25,1989.57,0
11/03/2016 16:00:00,1994.71,2022.37,1994.71,2022.19,0
14/03/2016 16:00:00,2019.27,2024.57,2012.05,2019.64,0
15/03/2016 16:00:00,2015.27,2015.94,2005.23,2015.93,0
